month,year,trt,habitat,MDS1,MDS2,MDS3
AUG,2009,C,unveg,-0.8674264238994662,-0.09719519212964363,-0.052408183466837344
AUG,2009,C,veg,-0.22754325646556972,0.20582216500984618,-0.027712871032096294
AUG,2009,X,unveg,-0.8183573649568361,-0.15480208804829534,-0.061958825110358794
AUG,2009,X,veg,0.5251544772975253,0.9686894137507501,0.9654467520181497
AUG,2010,C,unveg,-0.8908843357601547,-0.15356313255042697,-0.0760697678694883
AUG,2010,C,veg,-0.6391013412221679,0.13433072013249903,-0.13992430200719413
AUG,2010,X,unveg,-0.3442015224527972,-0.36278118716381774,0.02142746935473867
AUG,2010,X,veg,0.22250846190229362,0.6310247905788957,0.3405146571872796
AUG,2011,C,unveg,-0.9074677612344223,-0.1288071604707042,-0.08626300602761484
AUG,2011,C,veg,-0.5672441326832106,0.20118783908907162,-0.12801104209713243
AUG,2011,X,unveg,0.4590087495692508,-0.5826624761599136,-0.1691219328761407
AUG,2011,X,veg,0.5269785693885798,-0.01495405208616682,-0.33125609638219083
AUG,2012,C,unveg,-0.8775054681808016,-0.1502229758512815,-0.03416632888501116
AUG,2012,C,veg,-0.5773062167123781,0.1678198405319128,-0.046383353184871974
AUG,2012,X,unveg,1.010947119322155,-0.8067985846022528,-0.17867365428800824
AUG,2012,X,veg,1.0947030472535766,-0.23365997956725557,-0.18786799307420735
AUG,2013,C,unveg,-0.8864366444486715,-0.15808118402313623,-0.024711653440783257
AUG,2013,C,veg,-0.45379962615306296,0.21578935032440602,0.04859004831208813
AUG,2013,X,unveg,1.2794596529248847,-0.5239964273099746,-0.12536006160342988
AUG,2013,X,veg,1.2438920312171673,0.0445333383602108,-0.4761887847455164
AUG,2014,C,unveg,-0.905600500355723,-0.12316444090478684,0.002453522084389384
AUG,2014,C,veg,-0.5147277039270697,0.16424283140335222,0.07281937990271972
AUG,2014,X,unveg,1.465478425434723,-0.4610951126522282,-0.2563419929569657
AUG,2014,X,veg,1.2194966018164153,0.1840705168474961,-0.25315309149396575
AUG,2015,C,unveg,-0.7373963001699302,-0.2156269115775951,0.03484809291307806
AUG,2015,C,veg,-0.2780416099562563,0.1189509276285102,0.2779625190359285
AUG,2015,X,unveg,1.486969227390258,-0.1625551242861829,0.3297852008170378
AUG,2015,X,veg,1.3755963825870723,0.5507163288124913,0.09669114831073003
