year,month,module,trt,habitat,AMACAN,BARE,BIDCON,BIDFRO,BIDLAE,BIDSPP,CUSGRO,DET,ECHMUR,ECHSPP,ECLPRO,FEATHR,IMPCAP,IRIPSE,LEEORY,LUDPEP,LYCRUB,MURKEI,NUPADV,PELVIR,PERHYD,PERPUN,PERSPP,PHAARU,PONCOR,SAGLAT,SCHTAB,TRASH,TYPANG,TYPLAT,TYPSPP,UNKALT,UNKSDG,WOOD,ZIZAQU
2009,AUG,1,C,veg,0,100,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AUG,1,X,veg,0,0,0,0,0.5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,100
2009,AUG,2,C,veg,0,98,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AUG,2,X,veg,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,100
2009,AUG,3,C,veg,0,0,0,0,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
2009,AUG,3,X,veg,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2009,AUG,4,C,veg,0,95,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2
2009,AUG,4,X,veg,0,0,0,0,7,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,100
2009,AUG,5,C,unveg,0,99,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
2009,AUG,5,X,unveg,0,100,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AUG,6,C,unveg,0,100,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AUG,6,X,unveg,0,100,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AUG,7,C,veg,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
2009,AUG,7,X,veg,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
2009,AUG,8,C,veg,0,50,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AUG,8,X,veg,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2009,AUG,9,C,unveg,0,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AUG,9,X,unveg,0,100,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,AUG,10,C,unveg,0,100,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
